LoanRange,BusinessName,State,Jobs,Date
b $2-5 million,NORTH TEXAS HEALTH CARE LAUNDRY COOPERATIVE ASSOCIATION,TX,0,4/5/20
b $2-5 million,PARADIGM METALS INC,TX,0,5/16/20
b $2-5 million,"PATE REHABILITATION ENDEAVORS, INC",TX,0,4/7/20
b $2-5 million,PLAINS COTTON COOPERATIVE ASSOCIATION,TX,0,4/29/20
b $2-5 million,PREMIER MEDICAL RESOURCES LLC,TX,0,4/30/20
b $2-5 million,PRESTONWOOD CHRISTIAN ACADEMY,TX,0,4/27/20
b $2-5 million,"REYES AUTOMOTIVE GROUP II, LLC",TX,0,4/8/20
b $2-5 million,ROC SERVICE COMPANY LLC,TX,0,4/6/20
b $2-5 million,RREAF HOLDINGS LLC,TX,0,4/7/20
b $2-5 million,"RUDY'S TEXAS BAR-B-Q, LLC",TX,0,4/15/20
b $2-5 million,S TEC CORPORATION,TX,0,4/8/20
b $2-5 million,SERVICE STEEL WHSE CO LP,TX,0,4/29/20
b $2-5 million,"SOUTHWEST TRANSPLANT ALLIANCE, INC.",TX,0,4/7/20
b $2-5 million,"SPR PACKAGING, LLC",TX,0,5/5/20
b $2-5 million,"TDG STAFFING, LLC",TX,0,4/4/20
b $2-5 million,"TEXAS EAR, NOSE & THROAT SPECIALISTS",TX,0,4/27/20
b $2-5 million,TLC ACADEMY,TX,0,4/11/20
b $2-5 million,TRICON ENERGY INC.,TX,0,4/7/20
b $2-5 million,"TRINITY STAFFING SERVICES, INC.",TX,0,4/4/20
b $2-5 million,"WESTWOOD ADVISORY SERVICES, INC.",TX,0,4/4/20
b $2-5 million,WFI INC,TX,0,4/14/20
b $2-5 million,WILLBANKS METALS INC.,TX,0,4/9/20
b $2-5 million,WILSON COUNTY MEMORIAL HOSPITALDISTRICT,TX,0,5/13/20
b $2-5 million,5-F MECHANICAL GROUP INC,TX,0,4/8/20
b $2-5 million,AIR CENTER HELICOPTERS INC,TX,0,4/15/20
b $2-5 million,"BCB TRANSPORT, LLC",TX,0,4/9/20
b $2-5 million,BEAUMONT MOTOR CO.,TX,0,4/13/20
b $2-5 million,"BECK & MASTEN BUICK GMC, INC.",TX,0,4/10/20
b $2-5 million,BEST CHOICE RESTAURANTS LLC,TX,0,4/9/20
b $2-5 million,BRITT RICE CONSTRUCTION COMPANY LP,TX,0,4/9/20
b $2-5 million,CAIN WATTERS & ASSOCIATES LLC,TX,0,4/14/20
b $2-5 million,"CAPITOL CHEVROLET, INC.",TX,0,4/10/20
b $2-5 million,CLASSIC CHEVROLET SUGARLAND LLC,TX,0,4/11/20
b $2-5 million,CLINICS OF NORTH TEXAS LLP,TX,0,4/28/20
b $2-5 million,COMMUNITY WASTE DISPOSAL LP,TX,0,5/3/20
b $2-5 million,DH MASSEY ENTERPRISES LLC,TX,0,4/14/20
b $2-5 million,EAST LAKE ALLIED HEALTH PROFESSIONAL STA,TX,0,5/3/20
b $2-5 million,ENCORE PIPE & CONSTRUCTION LLC,TX,0,4/7/20
b $2-5 million,"ENVIRONMENTAL DEVELOPMENT PARTNERS, LLC",TX,0,4/12/20
b $2-5 million,"FACILITY CONCESSION SERVICES, INC.",TX,0,5/2/20
b $2-5 million,FLOTEK INDUSTRIES INC,TX,0,4/14/20
b $2-5 million,"FRESH FROM TEXAS, LLC",TX,0,4/10/20
b $2-5 million,GP MOBILE LLC,TX,0,4/9/20
b $2-5 million,"GRAYCO COMMUNICATIONS, LP",TX,0,6/30/20
b $2-5 million,HEART OF TEXAS REGION MHMR CENTER,TX,0,5/3/20
b $2-5 million,HILLCROFT MEDICAL CLINIC ASSOCIATION,TX,0,4/8/20
b $2-5 million,HOSPICESOURCE LLC,TX,0,4/10/20
b $2-5 million,"INNOVATIVE INTELLIGENT SOLUTIONS, LLC",TX,0,4/14/20
b $2-5 million,"KCK UTILITY CONSTRUCTION, INC.",TX,0,4/11/20
b $2-5 million,"MCCLINTON ENERGY GROUP, LLC",TX,0,4/11/20
b $2-5 million,MONKEYSPORTS CAPITAL LLC,TX,0,4/11/20
b $2-5 million,"ROGER WARD - SAN ANTONIO, INC.",TX,0,4/10/20
b $2-5 million,"RUMBLEON, INC.",TX,0,4/30/20
b $2-5 million,"SAN ANTONIO EYE CENTER, P.A.",TX,0,4/9/20
b $2-5 million,STARTKLEEN LEGACY LLC,TX,0,4/14/20
b $2-5 million,STEVE KEMBLE EVENT DESIGN,TX,0,4/29/20
b $2-5 million,TADANO AMERICA CORPORATION,TX,0,5/3/20
b $2-5 million,TALENT CORPORATION LLC,TX,0,4/10/20
b $2-5 million,TUTLE & TUTLE TRUCKING INC,TX,0,4/15/20
b $2-5 million,UNITED PROTECTIVE SERVICES OF SOUTH TEXAS LP,TX,0,5/4/20
b $2-5 million,"VBM ACQUISITION, LLC",TX,0,4/9/20
b $2-5 million,VSS TRANSPORTATION,TX,0,4/9/20
b $2-5 million,WIN-CON,TX,0,5/3/20
b $2-5 million,WYCLIFFE SEED COMPANY,TX,0,5/3/20
b $2-5 million,"XPEDIENT MANAGEMENT GROUP, LLC",TX,0,4/9/20
c $1-2 million,"A/W MECHANICAL SERVICES, INC",TX,0,4/9/20
c $1-2 million,"ALITEK SOLUTIONS, LP",TX,0,4/13/20
c $1-2 million,ALLIANCE RECRUITING RESOURCES,TX,0,4/8/20
c $1-2 million,ALLIED PLASTIC SUPPLY LLC,TX,0,4/7/20
c $1-2 million,"AMERICAN MESSAGING SERVICES, LLC",TX,0,4/27/20
c $1-2 million,ASPS OWNER'S HOLDING LLC,TX,0,4/11/20
c $1-2 million,"ATHENA MANUFACTURING, LP",TX,0,4/29/20
c $1-2 million,AZTECA ENERGY SERVICES INC,TX,0,5/8/20
c $1-2 million,B&AMP;C TEXAS LEASING INC,TX,0,4/30/20
c $1-2 million,"BABTEX, INC.",TX,0,4/9/20
c $1-2 million,BBM-ONLINE LLC,TX,0,4/15/20
c $1-2 million,BELIEVE IN US PRIMARY HOME INC,TX,0,4/30/20
c $1-2 million,BERING HOME CENTER INC,TX,0,4/27/20
c $1-2 million,BIG E SERVICES LLC,TX,0,4/10/20
c $1-2 million,BIOMET SOUTH TEXAS INC.,TX,0,4/7/20
c $1-2 million,"BLUE SCIENCE, LLC",TX,0,4/30/20
c $1-2 million,"BP HOLDINGS, LLC",TX,0,5/11/20
c $1-2 million,"BROWN CHEVROLET CO., INC",TX,0,4/8/20
c $1-2 million,"CADDIS PARTNERS, LLC",TX,0,4/8/20
c $1-2 million,"CAPITAL FIRE PROTECTION, LLC",TX,0,4/14/20
c $1-2 million,CERTIFIED PRESSURE TESTING LLC,TX,0,4/27/20
c $1-2 million,"CHASCO ENTERPRISES, INC",TX,0,4/27/20
c $1-2 million,CHASTANG ENTERPRISES HOUSTON LLC,TX,0,4/10/20
c $1-2 million,"CHRIST FOR THE NATIONS, INC.",TX,0,4/3/20
c $1-2 million,CLASSIC H DENISON LLC,TX,0,4/5/20
c $1-2 million,"CLEAR LAKE PARTNERS, LTD",TX,0,4/11/20
c $1-2 million,CLERMONT MANAGEMENT LLC,TX,0,4/7/20
c $1-2 million,"COBRA STONE, INC.",TX,0,6/30/20
c $1-2 million,"COMMUNITY HEALTH SERVICE AGENCY, INC",TX,0,4/29/20
c $1-2 million,CONNECT HOME HEALTH LLC,TX,0,4/28/20
c $1-2 million,CONSOLIDATED SERVICES OF NORTH AMERICA LLC,TX,0,4/27/20
c $1-2 million,CONTINENTAL ELECTRONICS CORPORATION,TX,0,4/7/20
c $1-2 million,CONTROL PRODUCTS CORPORATION,TX,0,4/5/20
c $1-2 million,"CONVEY, INC.",TX,0,6/26/20
c $1-2 million,"CONVEYORS, INC.",TX,0,4/29/20
c $1-2 million,COSMETIC LABORATORIES LP,TX,0,4/30/20
c $1-2 million,COXS FOODARAMA INC,TX,0,5/5/20
c $1-2 million,"CTW HOME HEALTH, INC",TX,0,4/8/20
c $1-2 million,D & L ENTERTAINMENT SERVICES INC,TX,0,4/10/20
c $1-2 million,"DALLAS-PWD, LLC",TX,0,4/4/20
c $1-2 million,DATUM ENGINEERS,TX,0,4/7/20
c $1-2 million,DBT TRANSPORTATION SERVICES LLC,TX,0,4/15/20
c $1-2 million,"DCT LSPD, PLLC",TX,0,4/13/20
c $1-2 million,DEUTSCHE WINDTECHNIK INC,TX,0,4/30/20
c $1-2 million,"DHI GROUP LIMITED, LLC",TX,0,4/10/20
c $1-2 million,DIAB AMERICAS LP,TX,0,4/29/20
c $1-2 million,ELECTRO TECHNICAL INDUSTRIES INC,TX,0,4/10/20
c $1-2 million,ELITE TEMPORY STAFFING LTD,TX,0,5/1/20
c $1-2 million,"EMANCIPET, INC.",TX,0,4/27/20
c $1-2 million,"EMPLOYER DIRECT HEALTHCARE, LLC",TX,0,4/28/20
c $1-2 million,"ENERGY FISHING & RENTAL SERVICES, INC.",TX,0,4/30/20
c $1-2 million,ESP ENTERPRISES INC.,TX,0,4/29/20
c $1-2 million,EVERGREEN PRIVATE CARE OF HOUSTON LLC,TX,0,4/28/20
c $1-2 million,EXCEL HOME HEALTH SERVICES LLC,TX,0,5/20/20
c $1-2 million,FIRST SERVICE AIR CONDITIONING,TX,0,4/14/20
c $1-2 million,FLETCHER YODER PC,TX,0,4/8/20
c $1-2 million,FOURSEVENTY CLAIMS LLC,TX,0,4/14/20
c $1-2 million,FRANK BRAND DAIRY,TX,0,5/15/20
c $1-2 million,G&C EXCAVATORS INC,TX,0,4/5/20
c $1-2 million,GOODWILL INDUSTRIES OF NORTHEAST TEXAS,TX,0,4/8/20
c $1-2 million,"GORANSON BAIN AUSLEY, PLLC",TX,0,4/11/20
c $1-2 million,"GREAT BASIN PETROLEUM SERVICES, LP",TX,0,4/15/20
c $1-2 million,"GUNN IMPORTS, LTD",TX,0,4/6/20
c $1-2 million,HAMPTON TWO AUTO CORPORATION,TX,0,4/30/20
c $1-2 million,HARLOW AEROSTRUCTURES TEXAS LLC,TX,0,5/15/20
c $1-2 million,"HARRIS, FINLEY & BOGLE, P.C.",TX,0,4/8/20
c $1-2 million,HEALTH SERVICES OF NORTH TEXAS INC,TX,0,4/9/20
c $1-2 million,HEATRO PIPELINE SERVICES LLC,TX,0,4/13/20
c $1-2 million,HIGHLAND MEADOWS CHRISTIAN CHURCH,TX,0,4/4/20
c $1-2 million,HILLIARD OFFICE SOLUTIONS LTD,TX,0,4/9/20
c $1-2 million,"HLK AUTO GROUP, INC",TX,0,4/4/20
c $1-2 million,"HOLIDAY WORLD OF KATY, LLC",TX,0,4/28/20
c $1-2 million,HOWL TRANSPORTATION LLC,TX,0,4/29/20
c $1-2 million,"HUMBLE MACHINE WORK, INC",TX,0,4/9/20
c $1-2 million,INTERACTIVE LIFE FORMS LLC,TX,0,4/14/20
c $1-2 million,"INTUITIVE MACHINES, LLC",TX,0,4/7/20
c $1-2 million,JAMES A. BRAY,TX,0,4/27/20
c $1-2 million,"JIM BASS FORD, INC.",TX,0,4/12/20
c $1-2 million,JL SPECIALTY WELDERS,TX,0,5/4/20
c $1-2 million,JOE & DAVID TACOS LTD,TX,0,4/7/20
c $1-2 million,"L.A. FUESS PARTNERS, INC.",TX,0,6/1/20
c $1-2 million,"L.P.T. RETAIL MANAGEMENT SERVICES, LLC",TX,0,5/3/20
c $1-2 million,"LAKEVIEW GLASS & MIRROR, INC.",TX,0,4/6/20
c $1-2 million,LALJI DENTAL PC,TX,0,4/27/20
c $1-2 million,LIAISON RESOURCES LP,TX,0,4/28/20
c $1-2 million,LOLA'S LEVEL,TX,0,6/29/20
c $1-2 million,"LONE STAR MILK TRANSPORT, INC",TX,0,4/30/20
c $1-2 million,LST BLUE STAR HOLDINGS INC,TX,0,4/9/20
c $1-2 million,LUTHERAN EDUCATION ASSOCIATION OF HOUSTO,TX,0,4/11/20
c $1-2 million,MCDOWELL HETHERINGTON LLP,TX,0,4/8/20
c $1-2 million,METRO MECHANICAL INC,TX,0,4/27/20
c $1-2 million,"MILLTEX, LLC",TX,0,4/13/20
c $1-2 million,MUY CONSULTING CORPORATION,TX,0,4/10/20
c $1-2 million,"N & B WELL SERVICE, LLC",TX,0,4/14/20
c $1-2 million,"NELSON FORENSICS, LLC",TX,0,4/29/20
c $1-2 million,"NETWORK OBJECTS, INC.",TX,0,4/8/20
c $1-2 million,O.S. INTERIOR SYSTEMS INC,TX,0,4/27/20
c $1-2 million,ORENDA EDUCATION,TX,0,4/30/20
c $1-2 million,"OWI HOLDINGS, LLC",TX,0,4/7/20
c $1-2 million,P2 CONSTRUCTION INC,TX,0,4/14/20
c $1-2 million,"PARTICIPANT DENTAL SERVICES GP, LLC",TX,0,4/29/20
c $1-2 million,PEGASUS SCHOOLS INCORPORATED,TX,0,6/1/20
c $1-2 million,"PETERSON BECKNER INDUSTRIES, INC.",TX,0,4/28/20
c $1-2 million,QSR HOSPITALITY LLC,TX,0,4/10/20
c $1-2 million,QUELL PETROLEUM SERVICES INC,TX,0,4/8/20
c $1-2 million,REAGAN HOSPITAL DISTRICT,TX,0,4/30/20
c $1-2 million,RELIEF ENTERPRISE INC,TX,0,5/1/20
c $1-2 million,"RIBA FOODS, INC",TX,0,4/28/20
c $1-2 million,"ROBBINS NISSAN, INC.",TX,0,4/7/20
c $1-2 million,ROLL-LIFT USA INC,TX,0,5/6/20
c $1-2 million,S OLIVER & ASSOCIATES,TX,0,6/25/20
c $1-2 million,"SAVILLE, DODGEN &AMP; COMPANY PLLC",TX,0,4/27/20
c $1-2 million,SAXONY PARTNERS LLC,TX,0,4/7/20
c $1-2 million,"SIGMA MARBLE AND GRANITE, INC",TX,0,4/9/20
c $1-2 million,SIGMAPRO ENGINEERING & MFG LLC,TX,0,4/30/20
c $1-2 million,"SIMTEK, INC.",TX,0,4/28/20
c $1-2 million,"SKY TRANSPORTATION SERVICES, INC.",TX,0,4/8/20
c $1-2 million,SPANISH MEADOWS OF KATY LTD,TX,0,4/10/20
c $1-2 million,"SPOHN & ASSOCIATES, INC.",TX,0,4/7/20
c $1-2 million,SPORT CLIPS,TX,0,4/14/20
c $1-2 million,STAR HOUSTON INC,TX,0,5/20/20
c $1-2 million,STARWOOD ROOFING,TX,0,4/28/20
c $1-2 million,"STRATEGIC DENTAL EXECUTIVES, LLC",TX,0,4/30/20
c $1-2 million,"SUNBELT WATERPROOFING & RESTORATION, LLC",TX,0,4/27/20
c $1-2 million,"SUPERSCAPES HOLDCO, LLC",TX,0,4/7/20
c $1-2 million,T-REY PROPERTIES INC.,TX,0,4/28/20
c $1-2 million,TACHYON TECHNOLOGIES LLC,TX,0,4/30/20
c $1-2 million,TEXAS COLON & RECTAL SURGEONS,TX,0,4/28/20
c $1-2 million,TEXAS HOSPITAL ASSOCIATION,TX,0,4/30/20
c $1-2 million,"THE BEHAVIOR EXCHANGE, INC.",TX,0,4/6/20
c $1-2 million,THE CALDWELL PARTNERS INTERNATIONAL LTD.,TX,0,4/15/20
c $1-2 million,"THE DEMO COMPANY, LLC",TX,0,4/7/20
c $1-2 million,"THE INTELLEKT GROUP,  LLC",TX,0,4/27/20
c $1-2 million,THE POST OAK SCHOOL,TX,0,4/30/20
c $1-2 million,THE TEXIAN GROUP INC.,TX,0,4/28/20
c $1-2 million,"THE WOODLANDS SPORTS MEDICINE CENTRE, P.A.",TX,0,4/4/20
c $1-2 million,THIEL CO,TX,0,6/17/20
c $1-2 million,"TJ COMPOSITES, INC.",TX,0,4/28/20
c $1-2 million,"TRANSLINE INDUSTRIES, INC.",TX,0,4/13/20
c $1-2 million,TRAX GROUP INC.,TX,0,6/17/20
c $1-2 million,"TRILOGY SENIOR LIVING, LLC",TX,0,4/28/20
c $1-2 million,"TRINTY FORGE, INC.",TX,0,4/7/20
c $1-2 million,TRUST-CLASSIC H DENISON LLC,TX,0,4/6/20
c $1-2 million,UN BUEN AMANECER HOME HEALTH INC,TX,0,4/30/20
c $1-2 million,UNLIMITED SPRINKLER FIRE PROTECTION INC,TX,0,4/28/20
c $1-2 million,US AVIATION GROUP LLC,TX,0,4/8/20
c $1-2 million,"VEHICLE LEASING MID CITIES, L.L.C.",TX,0,4/27/20
c $1-2 million,"VICTORY WINE GROUP, LLC",TX,0,4/6/20
c $1-2 million,VOXAI SOLUTIONS INC,TX,0,4/27/20
c $1-2 million,W. DOUGLAS DISTRIBUTING LTD.,TX,0,4/7/20
c $1-2 million,"WDI DRILLING EQUIPMENT SERVICES, LLC",TX,0,4/13/20
c $1-2 million,WESTEX SECURITY SERVICES INC,TX,0,4/15/20
c $1-2 million,"WOODLAKE OUTDOOR, INC.",TX,0,4/30/20
c $1-2 million,ACCENT WIRE HOLDINGS LLC,TX,0,4/14/20
c $1-2 million,"ADVANCED HEART CARE, PA",TX,0,4/15/20
c $1-2 million,ALFRED CONHAGEN INC OF TEXAS,TX,0,5/3/20
c $1-2 million,"ALL AMERICAN INSPECTION, LLC",TX,0,4/29/20
c $1-2 million,AMENSYS INC,TX,0,5/7/20
c $1-2 million,AMERICAN OUTCOMES MANAGEMENT,TX,0,5/3/20
c $1-2 million,"AMERICAN SELECT PARTNERS, LLC",TX,0,4/30/20
c $1-2 million,AMERICAN STEEL CARPORTS INC,TX,0,5/3/20
c $1-2 million,"APPOINTED WORLDWIDE HOLDINGS, LLC",TX,0,5/12/20
c $1-2 million,ARREDONDO ZEPEDA &AMP; BRUNZ LLC,TX,0,5/3/20
c $1-2 million,"ASSESSMENT INTERVENTION MANAGEMENT, LLC",TX,0,4/9/20
c $1-2 million,ASSIST-MED INC,TX,0,5/3/20
c $1-2 million,AVIATION DEVICES & ELECTRONICS COMPONENTS LLC,TX,0,4/14/20
c $1-2 million,B-P SUPPLY INC,TX,0,4/10/20
c $1-2 million,BASSLER ENERGY SERVICES,TX,0,4/6/20
c $1-2 million,"BECK & MASTEN GULF FREEWAY, INC.",TX,0,4/10/20
c $1-2 million,"BERT OGDEN CHEVROLET, INC.",TX,0,4/11/20
c $1-2 million,"BERT OGDEN HARLINGEN MOTORS, INC.",TX,0,4/11/20
c $1-2 million,"BERT OGDEN MCALLEN MOTORS, INC.",TX,0,4/11/20
c $1-2 million,"BERT OGDEN MOTORS, INC.",TX,0,4/11/20
c $1-2 million,BEST CHOICE FLORIDA LLC,TX,0,4/9/20
c $1-2 million,"BLITZ EXPRESS, LLC",TX,0,4/27/20
c $1-2 million,BLUE STAR UTILITIES LLC,TX,0,5/3/20
c $1-2 million,BOB UTTER FORD LTD,TX,0,4/15/20
c $1-2 million,BOEDEKER PLASTICS INC,TX,0,4/15/20
c $1-2 million,"BORING & TUNNELING COMPANY OF AMERICA, LLC",TX,0,4/14/20
c $1-2 million,"BROWN, GRAHAM & COMPANY, P.C.",TX,0,4/7/20
c $1-2 million,CENTRA ASSET PARTNERS MANAGEMENT LTD,TX,0,4/11/20
c $1-2 million,"CENTRADA SOLUTIONS, LLC",TX,0,4/28/20
c $1-2 million,CERTARUS USA LTD,TX,0,5/3/20
c $1-2 million,CHALKS TRUCK PARTS INC,TX,0,5/3/20
c $1-2 million,"CLASSIC BUICK, GMC, LTD.",TX,0,4/10/20
c $1-2 million,"CLAY COOLEY REAL ESTATE HOLDINGS 1, LLC",TX,0,4/10/20
c $1-2 million,"COASTAL DRILLING LAND COMPANY, LLC",TX,0,4/14/20
c $1-2 million,CONGREGATION EMANU-EL,TX,0,4/7/20
c $1-2 million,"COOLEY HOLDINGS 3, LLC",TX,0,4/10/20
c $1-2 million,"CURTIS & SON VACUUM SERVICE, INC.",TX,0,4/11/20
c $1-2 million,"DOUGLASS DISTRIBUTING CARRIERS, INC.",TX,0,4/15/20
c $1-2 million,"DSW PARTNERS, LLC",TX,0,4/28/20
c $1-2 million,"DUNCANVILLE N, LLC",TX,0,4/10/20
c $1-2 million,DUTCHER-PHIPPS CRANE & RIGGING CO,TX,0,4/13/20
c $1-2 million,"DYNAMIC DOWNHOLE SERVICES, LLC",TX,0,4/9/20
c $1-2 million,"DYNAMIC INFUSION THERAPY, INC.",TX,0,4/16/20
c $1-2 million,"ECLIPSE MEDCORP, LLC",TX,0,4/15/20
c $1-2 million,"ELK MOUNTAIN LUMBER, LLC",TX,0,4/27/20
c $1-2 million,EMERGENCY MEDICAL SPECIALISTS OF JACKSON,TX,0,5/3/20
c $1-2 million,ENERGIZED FOR EXCELLENCE,TX,0,5/3/20
c $1-2 million,"ENERSTAFF, LLC",TX,0,4/14/20
c $1-2 million,"ENGINEERED WELL SERVICE INTERNATIONAL, LLC",TX,0,4/30/20
c $1-2 million,"FIESTA HARLINGEN MOTORS, INC.",TX,0,4/11/20
c $1-2 million,"FIREBIRD BULK CARRIERS, INC.",TX,0,4/9/20
c $1-2 million,FRIO HOSPITAL ASSOCIATION,TX,0,4/10/20
c $1-2 million,G.S.D. TRADING U.S.A. INC,TX,0,4/15/20
c $1-2 million,GALOTECH CORPORATION,TX,0,5/3/20
c $1-2 million,"GOODE COOK, INC.",TX,0,4/30/20
c $1-2 million,GRACON CONSTRUCTION INC,TX,0,5/3/20
c $1-2 million,"GREEN APPLE, LLC",TX,0,4/9/20
c $1-2 million,GROVES ELECTRICAL SERVICE INC,TX,0,4/15/20
c $1-2 million,HAM LANGSTON & BREZINA LLP,TX,0,4/15/20
c $1-2 million,HAPPY DAYS MOVERS LLC,TX,0,5/1/20
c $1-2 million,HEART TO HEART HOSPICE HOLDINGS LLC,TX,0,4/14/20
c $1-2 million,HEART TO HEART HOSPICE OF AUSTIN LTD,TX,0,4/14/20
c $1-2 million,HEART TO HEART HOSPICE OF FORT WORTH LLC,TX,0,4/14/20
c $1-2 million,HEART TO HEART HOSPICE OF SAN ANTONIO LLC,TX,0,4/14/20
c $1-2 million,"HM & MF, LTD.",TX,0,4/15/20
c $1-2 million,HOBAS PIPE USA INC,TX,0,5/3/20
c $1-2 million,"IRVING N MOTOR COMPANY, LLC",TX,0,4/10/20
c $1-2 million,"J&A HOSPITALITY, LLC",TX,0,4/15/20
c $1-2 million,"J. DAVIS AUTOMOTIVE GROUP, INC.",TX,0,4/11/20
c $1-2 million,"JENNINGS ENERGY SERVICES, LLC",TX,0,4/15/20
c $1-2 million,"JQ CONSULTING II, LLC",TX,0,4/28/20
c $1-2 million,KING OF TEXAS ROOFING COMPANY LP,TX,0,4/16/20
c $1-2 million,KING SUPPLY COMPANY LLC,TX,0,4/29/20
c $1-2 million,LANEY DIRECTIONAL DRILLING CO,TX,0,5/3/20
c $1-2 million,"LIGHTHOUSE ELECTRICAL CONTRACTORS, LP",TX,0,4/9/20
